antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Nitrogen_Nitrogen_High', 'Potassium_Potassium_Medium'})",frozenset({'Rainfall_Rainfall_High'}),0.12,0.3331818181818182,0.10818181818181818,0.9015151515151516,2.705775352432924,1.0,0.06820000000000001,6.770769230769236,0.7163865546218487,0.313570487483531,0.8523062940240855,0.6131040969035513
"frozenset({'Nitrogen_Nitrogen_High', 'Rainfall_Rainfall_High'})",frozenset({'Potassium_Potassium_Medium'}),0.12818181818181817,0.31545454545454543,0.10818181818181818,0.8439716312056739,2.6754143928710126,1.0,0.06774628099173555,4.38731404958678,0.7182989984314895,0.32249322493224936,0.7720701119870402,0.5934555562368427
"frozenset({'Potassium_Potassium_High', 'Temperature_Temperature_Low'})",frozenset({'Phosphorus_Phosphorus_High'}),0.11772727272727272,0.32636363636363636,0.1,0.8494208494208495,2.6026822684204305,1.0,0.061578099173553724,4.473636363636365,0.6979485738372909,0.2906208718626156,0.7764681975208292,0.5779137673288092
"frozenset({'Temperature_Temperature_Medium', 'Rainfall_Rainfall_High'})",frozenset({'Potassium_Potassium_Medium'}),0.13863636363636364,0.31545454545454543,0.11181818181818182,0.8065573770491803,2.556810128974347,1.0,0.06808471074380165,3.538751926040061,0.7068880451337495,0.32669322709163345,0.717414495025363,0.5805121179194028
"frozenset({'Potassium_Potassium_Medium', 'Temperature_Temperature_Medium'})",frozenset({'Rainfall_Rainfall_High'}),0.13863636363636364,0.3331818181818182,0.11181818181818182,0.8065573770491803,2.420772482275848,1.0,0.06562706611570247,3.447110939907549,0.6813716026342321,0.3106060606060606,0.7099019969381027,0.5710822355914387
"frozenset({'Nitrogen_Nitrogen_High', 'Phosphorus_Phosphorus_Medium'})",frozenset({'Humidity_Humidity_Medium'}),0.13636363636363635,0.3336363636363636,0.10954545454545454,0.8033333333333333,2.407811080835604,1.0,0.06404958677685951,3.38828967642527,0.6770037126010047,0.30390920554854983,0.7048658481127785,0.565835603996367
"frozenset({'Temperature_Temperature_Medium', 'Humidity_Humidity_Medium'})",frozenset({'Nitrogen_Nitrogen_High'}),0.15772727272727272,0.33045454545454545,0.12181818181818181,0.7723342939481268,2.337187684574799,1.0,0.06969648760330578,2.940914844649022,0.6792756401478844,0.33250620347394544,0.6599697533509022,0.5704862666439396
"frozenset({'Humidity_Humidity_Medium', 'Phosphorus_Phosphorus_Medium'})",frozenset({'Nitrogen_Nitrogen_High'}),0.16045454545454546,0.33045454545454545,0.10954545454545454,0.6827195467422096,2.0660013794124636,1.0,0.056522520661157025,2.110263798701298,0.6145863989378312,0.2872467222884386,0.5261255959489892,0.5071094294921502
"frozenset({'Phosphorus_Phosphorus_High', 'Temperature_Temperature_Low'})",frozenset({'Potassium_Potassium_High'}),0.15181818181818182,0.3290909090909091,0.1,0.6586826347305389,2.001521818241969,1.0,0.05003801652892562,1.9656459330143539,0.5899444606840105,0.2625298329355608,0.491261379679665,0.481275019022728
"frozenset({'Nitrogen_Nitrogen_High', 'Temperature_Temperature_Medium'})",frozenset({'Humidity_Humidity_Medium'}),0.18863636363636363,0.3336363636363636,0.12181818181818181,0.6457831325301204,1.9355897705262466,1.0,0.05888223140495867,1.8812306740878166,0.5957397884526945,0.3041997729852441,0.46843307746675644,0.5054528741669676
frozenset({'Humidity_Humidity_High'}),frozenset({'Phosphorus_Phosphorus_Low'}),0.3331818181818182,0.34045454545454545,0.21,0.6302864938608458,1.85130879371677,1.0,0.09656673553719007,1.7839365984568933,0.6896056681332754,0.45294117647058824,0.4394419617462858,0.6235544618836939
frozenset({'Phosphorus_Phosphorus_Low'}),frozenset({'Humidity_Humidity_High'}),0.34045454545454545,0.3331818181818182,0.21,0.616822429906542,1.85130879371677,1.0,0.09656673553719007,1.7402328159645228,0.6972098657143454,0.45294117647058824,0.42536424389529137,0.6235544618836939
"frozenset({'Nitrogen_Nitrogen_High', 'Humidity_Humidity_Medium'})",frozenset({'Temperature_Temperature_Medium'}),0.1990909090909091,0.3331818181818182,0.12181818181818181,0.6118721461187214,1.8364511888965718,1.0,0.05548471074380164,1.7180374331550798,0.568693140427262,0.2967884828349945,0.4179405054268488,0.48874644140861034
frozenset({'Potassium_Potassium_Medium'}),frozenset({'Rainfall_Rainfall_High'}),0.31545454545454543,0.3331818181818182,0.19136363636363637,0.606628242074928,1.8207123227351183,1.0,0.08625991735537192,1.6951348651348654,0.6584871913770098,0.41848906560636184,0.4100764366495172,0.5904901101234121
frozenset({'Nitrogen_Nitrogen_High'}),frozenset({'Humidity_Humidity_Medium'}),0.33045454545454545,0.3336363636363636,0.1990909090909091,0.6024759284731774,1.8057861616362267,1.0,0.08883925619834712,1.676284995281535,0.6664589707582761,0.42815249266862176,0.40344273031445455,0.5996030868523925
